place_id,dine_in,summary,address,price_level,rating,reservable,serves_beer,serves_breakfast,serves_brunch,serves_dinner,serves_lunch,serves_vegetarian_food,serves_wine,takeout,user_ratings_total,delivery,weelchair,hours_open,num_days_open,open_weekends
ChIJu0clrRCIQQ0R00GSTWpDKZQ,True,"Elegant restaurant specializing in varied rice dishes, plus a lengthy wine list & dessert menu.","Cl. de los Yébenes, 38, Latina, 28047 Madrid, Spain",2.0,4.1,True,True,True,False,True,True,False,True,True,4927.0,,True,71.0,7,True
ChIJR08D2YsnQg0RUpRahajdwuw,True,"Large, lively space with a buffet spread of Colombian rice & grilled meat dishes, plus cocktails.","C. de Castrojeriz, 18, Carabanchel, 28025 Madrid, Spain",2.0,4.1,True,True,False,False,False,True,False,True,False,4003.0,False,True,20.5,4,True
ChIJPTkT8oonQg0R8e131NHINLw,True,,"CALLE LAGUNA 107,GAL.COMERCIAL,PTO 23 LA SALMANTINA, CARABANCHEL,MADRID, Carabanchel, 28025 Madrid, Spain",,3.0,,,,,,,,,True,4.0,True,True,56.0,7,True
ChIJfTtWCyCIQQ0RjSvbD-IZ_cY,True,,"C. Vía Carpetana, 350, Latina, 28047 Madrid, Spain",1.0,3.4,True,True,False,True,True,True,True,True,True,249.0,True,True,66.5,7,True
ChIJB6AzuSKIQQ0RiIg31sS64Po,True,,"C. de Illescas, 98, Local 50, Latina, 28047 Madrid, Spain",1.0,4.2,True,True,False,True,True,True,,True,True,484.0,True,False,46.5,7,True
ChIJ9YcJgyKIQQ0RvFvcsjycTGk,True,"Pizza take-out & delivery chain offering classic & specialty pizzas, plus wings, sides & desserts.","Cl. de los Yébenes, 148, Latina, 28047 Madrid, Spain",1.0,2.9,False,True,False,False,True,True,True,False,True,547.0,True,True,86.0,7,True
ChIJs3y1EyOIQQ0RChFYzpwZiDQ,True,,"C. de Ocaña, 112, Latina, 28047 Madrid, Spain",1.0,4.2,True,True,,,True,True,False,True,True,1118.0,True,True,84.0,7,True
ChIJb_-XcCOIQQ0Ru1EK3Xj4yxo,True,,"C. de Ntra. Sra. de la Luz, 118, Latina, 28047 Madrid, Spain",1.0,4.1,True,True,,True,True,True,False,True,True,384.0,True,True,56.0,6,True
ChIJg3YXO4onQg0Rgz3d6I04Dcw,True,"Fine dining in an intimate, understated restaurant, plus desserts & an extensive wine list.","C. de la Laguna, 139, Carabanchel, 28025 Madrid, Spain",3.0,4.5,True,True,False,,True,True,False,True,,227.0,,,57.0,6,False
ChIJK8NLkCCIQQ0Riqt_1oUJXHg,True,"Classic, long-running fast-food chain known for its burgers & fries.","C/ La Oca, Gta. Ejército, 105, | Carabanchel, Carabanchel, 28025 Madrid, Spain",1.0,3.8,,True,True,,True,True,False,False,True,2479.0,True,True,98.0,7,True
ChIJY3qCliCIQQ0Rx2jwcVtqZNQ,True,,"P.º de Marcelino Camacho, 51, Carabanchel, 28025 Madrid, Spain",,3.6,,,,,True,True,,,True,152.0,True,,84.0,7,True
ChIJrR2UeIonQg0RaQZKEblaI3c,True,,"C. de la Oca, 102, Carabanchel, 28025 Madrid, Spain",1.0,3.9,False,True,True,True,True,True,False,False,True,656.0,True,True,89.25,7,True
ChIJB0rQuReIQQ0RTKKmf5KQCiI,True,,"C. de Camarena, 105, 107, Latina, 28047 Madrid, Spain",1.0,4.1,,True,,,,True,False,True,,32.0,False,,100.0,6,False
ChIJBTOd9IonQg0RYysAPP2odOE,True,,"C. de la Laguna, 52, local derecho, Carabanchel, 28025 Madrid, Spain",1.0,4.1,True,True,True,True,True,True,True,True,True,578.0,True,True,91.0,7,True
ChIJR6XykD2IQQ0RUw1ExsE5vG0,True,,"C. de Camarena, 164, Latina, 28047 Madrid, Spain",1.0,3.4,True,True,,,True,True,False,True,True,196.0,True,,59.5,7,True
ChIJZzwA1z2IQQ0Rx97loDY1yIo,True,,"C. de Valmojado, 231, Latina, 28047 Madrid, Spain",1.0,3.7,True,True,True,True,True,True,True,True,True,257.0,False,False,83.0,6,True
ChIJe1P_IvUnQg0RD1qaMeLbo5E,True,,"C. Vía Carpetana, 143, Carabanchel, 28047 Madrid, Spain",,3.3,True,True,,,True,True,True,True,True,3.0,,,77.0,7,True
ChIJmee0CCaIQQ0RmSOyOYB9J-0,True,,"Av. de Ntra. Sra. de Fátima, 86, Carabanchel, 28047 Madrid, Spain",,4.0,True,True,True,True,True,True,False,True,True,2583.0,True,True,91.0,7,True
ChIJC4d6HB6IQQ0RyVATdPKJDPI,True,,"Gta. de los Carmenes, Latina, 28047 Madrid, Spain",1.0,4.1,True,True,True,True,True,True,False,True,True,213.0,False,False,96.0,6,True
ChIJaYVS2fQnQg0R6XTrR-1ZUa8,True,,"Av. de Ntra. Sra. de Valvanera, 115, Carabanchel, 28025 Madrid, Spain",,2.6,,,,,True,True,,,,44.0,,,91.0,7,True
ChIJCYhIuCKIQQ0RHroP85TSwlw,True,,"C. de Illescas, 98, local f, Latina, 28047 Madrid, Spain",1.0,4.1,True,True,False,,True,True,False,True,True,686.0,True,,57.75,7,True
ChIJ21EgGDyIQQ0R_Hki-_m6GeM,True,,"Latina, C. de Camarena, 254, posterior, Latina, 28047 Madrid, Spain",2.0,4.6,True,True,,True,True,True,False,True,True,1081.0,True,,33.0,6,True
