cod_distrito,distrito,cod_barrio,barrio,año,unidad_indicador,indicador_completo,valor_indicador
1.0,Centro,11.0,Palacio,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"165,5350704"
1.0,Centro,11.0,Palacio,2024,Habitantes,Número Habitantes,24332
1.0,Centro,11.0,Palacio,2023,Hogares,Total hogares,11768
1.0,Centro,12.0,Embajadores,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"470,0590113"
1.0,Centro,12.0,Embajadores,2024,Habitantes,Número Habitantes,48590
1.0,Centro,12.0,Embajadores,2023,Hogares,Total hogares,22794
1.0,Centro,13.0,Cortes,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"188,7312046"
1.0,Centro,13.0,Cortes,2024,Habitantes,Número Habitantes,11171
1.0,Centro,13.0,Cortes,2023,Hogares,Total hogares,5580
1.0,Centro,14.0,Justicia,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"253,4352177"
1.0,Centro,14.0,Justicia,2024,Habitantes,Número Habitantes,18739
1.0,Centro,14.0,Justicia,2023,Hogares,Total hogares,9132
1.0,Centro,15.0,Universidad,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"359,4198312"
1.0,Centro,15.0,Universidad,2024,Habitantes,Número Habitantes,34073
1.0,Centro,15.0,Universidad,2023,Hogares,Total hogares,17046
1.0,Centro,16.0,Sol,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"191,0172917"
1.0,Centro,16.0,Sol,2024,Habitantes,Número Habitantes,8506
1.0,Centro,16.0,Sol,2023,Hogares,Total hogares,3998
2.0,Arganzuela,21.0,Imperial,2023,Habitantes/Ha.,Población densidad (hab./Ha.),"234,2461507"
2.0,Arganzuela,21.0,Imperial,2023,Habitantes,Número Habitantes,22668
2.0,Arganzuela,21.0,Imperial,2023,Hogares,Total hogares,9720
2.0,Arganzuela,22.0,Acacias,2023,Habitantes/Ha.,Población densidad (hab./Ha.),"339,8080865"
2.0,Arganzuela,22.0,Acacias,2023,Habitantes,Número Habitantes,36475
2.0,Arganzuela,22.0,Acacias,2023,Hogares,Total hogares,15624
2.0,Arganzuela,23.0,Chopera,2023,Habitantes/Ha.,Población densidad (hab./Ha.),"356,7453329"
2.0,Arganzuela,23.0,Chopera,2023,Habitantes,Número Habitantes,20256
2.0,Arganzuela,23.0,Chopera,2023,Hogares,Total hogares,8724
2.0,Arganzuela,24.0,Legazpi,2023,Habitantes/Ha.,Población densidad (hab./Ha.),"140,38883"
2.0,Arganzuela,24.0,Legazpi,2023,Habitantes,Número Habitantes,19858
2.0,Arganzuela,24.0,Legazpi,2023,Hogares,Total hogares,7777
2.0,Arganzuela,25.0,Delicias,2023,Habitantes/Ha.,Población densidad (hab./Ha.),"279,3685408"
2.0,Arganzuela,25.0,Delicias,2023,Habitantes,Número Habitantes,29465
2.0,Arganzuela,25.0,Delicias,2023,Hogares,Total hogares,12142
2.0,Arganzuela,26.0,Palos de la Frontera,2023,Habitantes/Ha.,Población densidad (hab./Ha.),"397,7483035"
2.0,Arganzuela,26.0,Palos de la Frontera,2023,Habitantes,Número Habitantes,25790
2.0,Arganzuela,26.0,Palos de la Frontera,2023,Hogares,Total hogares,11762
2.0,Arganzuela,27.0,Atocha,2023,Habitantes/Ha.,Población densidad (hab./Ha.),"27,82384124"
2.0,Arganzuela,27.0,Atocha,2023,Habitantes,Número Habitantes,2047
2.0,Arganzuela,27.0,Atocha,2023,Hogares,Total hogares,743
