nombre,postal,calle,cocina,lat,lon,wheelchair
Café Comercial,28004,Glorieta de Bilbao,,40.428732,-3.7020018,
Honest Greens,28004,Calle de Fuencarral,,40.4270276,-3.7016997,no
La Parrilla de Nino,28015,Plaza de Cristino Martos,,40.4257656,-3.7120898,limited
Taj Mahal,28015,Calle del Duque de Osuna,indian,40.42514,-3.7118533,no
La Pomarada,28015,Calle del Conde Duque,regional,40.426008,-3.7115084,no
Sexto,28004,Calle de Fernando VI,,40.4252476,-3.6963836,
Brasa y Leña,28013,Plaza del Comandante Las Morenas,,40.4162327,-3.7088498,
100 Montaditos,,,sandwich,40.4136118,-3.7087304,
El Viajero,28005,Plaza de la Cebada,,40.4116487,-3.7101786,no
Que trabaje Rita,,,,40.412068,-3.7105933,
Tío Timón,28005,Costanilla de San Andrés,regional,40.4131593,-3.7117469,limited
Taquería del Alamillo,,,,40.4137154,-3.7127335,
Casa Ginés,,,,40.485413,-3.6852544,
Mesón Gallego,,,,40.4857882,-3.6926733,limited
Queen Burger Gourmet,28034,Calle de San Modesto,burger,40.4855645,-3.6920333,
tele-bocata,,,,40.4862924,-3.6924531,
,,,,40.4843585,-3.6868649,
,,,,40.4844368,-3.6870451,
Casa Mouriño,,,,40.485544,-3.6895993,
Tapería de Fuencarral,,,,40.4849065,-3.68482,
Taberna la Tortuga,,,,40.4468248,-3.714308,
Restaurante otavaleño,,,equatorian,40.4868023,-3.6892489,
Restaurante Fereva,,,,40.4854963,-3.6895029,
Cafetería Filosofía,,,,40.4486523,-3.7297735,limited
Fuente de la Fama,,,,40.4115676,-3.6978097,
A Cañada,,Calle de Fúcar,,40.4112109,-3.69567,no
Arrocería Gala,,,,40.412427,-3.6963071,no
El Fogón Verde,28014,Calle de la Alameda,spanish,40.4122937,-3.6939658,no
Moratin 40,28014,Calle de Moratín,,40.4125537,-3.6951865,no
El Rábano,,,,40.4134319,-3.6957085,
Terra Mundi,28014,Calle de Lope de Vega,regional,40.4136237,-3.6960696,no
Edelweiss,,,,40.4169233,-3.6966322,yes
El Secreto de Castilla,,,,40.4171806,-3.6965924,
Sagardi,28014,Calle de Jovellanos,,40.4173325,-3.6966034,
Vegetariano,,,,40.416822,-3.6971908,
Uskar,,,regional,40.4040925,-3.7009208,
A Cañada,,,,40.4047549,-3.7014847,
El Valle,28012,Calle de Sebastián Herrera,spanish,40.4037373,-3.6995978,
